po_id,supplier_name_raw,true_supplier,true_category,item_description,business_unit,order_qty,invoice_value
PO100071,Vesuvius India Ltd,Vesuvius India Limited,Refractories,tundish nozzle SEN 70mm,Plate Mill,1,31326.31
PO100072,S.K.F. India Limited,SKF India Limited,Bearings & Spares,plummer block SNH 517,Hot Strip Mill,227,4693163.71
PO100073,castrol india,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Steel Melt Shop,146,2049993.3
PO100074,Kirloskar Bros Ltd,Kirloskar Brothers Limited,Pumps & Compressors,screw compressor 250cfm,Coke Oven,385,40306724.15
PO100075,ELECON,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Central Maintenance,24,4320599.28
PO100076,S.K.F. India Limited,SKF India Limited,Bearings & Spares,plummer block SNH 517,Central Maintenance,323,6048362.34
PO100077,SKF India Ltd,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Power Plant,76,1542277.88
PO100078,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Blast Furnace,412,158199055.48
PO100079,TRL Krosaki Refractories Ltd,TRL Krosaki Refractories Limited,Refractories,castable LC 60% alumina 25kg,Central Maintenance,470,26366671.0
PO100080,CASTROL INDIA,Castrol India Limited,Lubricants,turbine oil 46,Central Maintenance,287,4387960.22
PO100081,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Coke Oven,381,80235795.84
PO100082,KIRLOSKAR BROTHERS,Kirloskar Brothers Limited,Pumps & Compressors,vacuum pump RH,Coke Oven,142,27607996.42
PO100083,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Plate Mill,40,12562953.2
PO100084,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,helical geared motor 11KW,Power Plant,277,36853523.17
PO100085,CASTROL INDIA,Castrol India Limited,Lubricants,turbine oil 46,Plate Mill,362,3380232.92
PO100086,Fenner Conveyor Belting,Fenner Conveyor Belting India,Conveyor & Handling,conv pulley lagged 630dia,Blast Furnace,213,7424483.49
PO100087,Kirloskar Bros Ltd,Kirloskar Brothers Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Plate Mill,392,63618334.64
PO100088,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,helical geared motor 11KW,Central Maintenance,200,70817222.0
PO100089,ELECON,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Power Plant,224,55752168.64
PO100090,L&T,Larsen and Toubro Limited,Electrical & Automation,HT MOTOR 1000KW 6.6KV,Power Plant,431,33416507.5
PO100091,T R L KROSAKI,TRL Krosaki Refractories Limited,Refractories,tundish nozzle SEN 70mm,Hot Strip Mill,340,6369267.6
PO100092,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Coke Oven,94,6908821.4
PO100093,SKF INDIA,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Power Plant,173,3865508.54
PO100094,shanthi gears,Shanthi Gears Limited,Gears & Drives,WORM GEARBOX 1:40 ratio,Plate Mill,42,10269325.92
PO100095,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Blast Furnace,36,12003575.4
PO100096,atlas copco,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Coke Oven,103,21303457.04
PO100097,Elecon Engineering,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Sinter Plant,343,48951375.34
PO100098,Larsen & Toubro,Larsen and Toubro Limited,Electrical & Automation,HT MOTOR 1000KW 6.6KV,Hot Strip Mill,86,7751716.64
PO100099,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Power Plant,56,9116672.32
PO100100,atlas copco,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Steel Melt Shop,102,7940026.8
PO100101,castrol india,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Blast Furnace,155,2986008.35
PO100102,SKF India Ltd,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Blast Furnace,220,4487927.4
PO100103,Kirloskar Bros Ltd,Kirloskar Brothers Limited,Pumps & Compressors,submersible pump 30HP,Central Maintenance,422,62390205.98
PO100104,castrol india,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Central Maintenance,223,1950746.02
PO100105,SKF INDIA,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Coke Oven,423,9202369.23
PO100106,Kirloskar Bros Ltd,Kirloskar Brothers Limited,Pumps & Compressors,screw compressor 250cfm,Central Maintenance,45,5046249.15
PO100107,TRL Krosaki,TRL Krosaki Refractories Limited,Refractories,tundish nozzle SEN 70mm,Plate Mill,343,11917195.43
PO100108,ELECON,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Sinter Plant,109,23051313.46
PO100109,atlas copco,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Coke Oven,360,76945730.4
PO100110,Rexroth India,Bosch Rexroth India Limited,Hydraulics,hyd power pack 90L 210bar,Central Maintenance,369,32254404.39
PO100111,Castrol India Ltd,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Sinter Plant,252,3273863.04
PO100112,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Central Maintenance,355,63752774.4
PO100113,vesuvius india,Vesuvius India Limited,Refractories,ladle slide gate plate,Plate Mill,177,6524294.34
PO100114,Castrol India Ltd,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Coke Oven,139,1498881.48
PO100115,shanthi gears,Shanthi Gears Limited,Gears & Drives,helical geared motor 11KW,Coke Oven,381,100300951.29
PO100116,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Steel Melt Shop,248,46891564.72
PO100117,KBL,Kirloskar Brothers Limited,Pumps & Compressors,submersible pump 30HP,Blast Furnace,152,15723586.8
PO100118,Castrol India Ltd,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Hot Strip Mill,65,668151.9
PO100119,Castrol India Ltd,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Central Maintenance,386,5271876.06
PO100120,SKF India Ltd,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Central Maintenance,175,1941640.75
PO100121,SMC Pneumatics,SMC Pneumatics India Limited,Pneumatics,PNEU CYLINDER DSBC 63x200,Hot Strip Mill,34,624802.7
PO100122,Elecon Engineering,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Steel Melt Shop,289,110239029.77
PO100123,T R L KROSAKI,TRL Krosaki Refractories Limited,Refractories,castable LC 60% alumina 25kg,Power Plant,214,9648714.3
PO100124,S.K.F. India Limited,SKF India Limited,Bearings & Spares,plummer block SNH 517,Sinter Plant,227,3018734.53
PO100125,T R L KROSAKI,TRL Krosaki Refractories Limited,Refractories,MAG CARBON BRICK MgO-C 14%,Coke Oven,31,1402384.51
PO100126,Castrol India Ltd,Castrol India Limited,Lubricants,gear oil 320 ISO VG,Hot Strip Mill,136,2217164.48
PO100127,VESUVIUS INDIA,Vesuvius India Limited,Refractories,tundish nozzle SEN 70mm,Sinter Plant,81,1427361.75
PO100128,Rexroth India,Bosch Rexroth India Limited,Hydraulics,hydraulic hose R2 1in,Steel Melt Shop,148,17851555.76
PO100129,castrol india,Castrol India Limited,Lubricants,gear oil 320 ISO VG,Power Plant,474,4800221.7
PO100130,SMC India,SMC Pneumatics India Limited,Pneumatics,solenoid valve 5/2 1/4in,Steel Melt Shop,116,2801939.4
PO100131,Rexroth India,Bosch Rexroth India Limited,Hydraulics,proportional valve 4WRE 25,Central Maintenance,406,31055390.66
PO100132,ELECON,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Central Maintenance,353,69530438.24
PO100133,SKF INDIA,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Sinter Plant,307,2541128.03
PO100134,Rexroth India,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Sinter Plant,118,17557359.24
PO100135,TRL Krosaki Refractories Ltd,TRL Krosaki Refractories Limited,Refractories,tundish nozzle SEN 70mm,Sinter Plant,391,20296899.93
PO100136,ELECON,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Central Maintenance,300,70398933.0
PO100137,SKF India Ltd,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Plate Mill,171,2353069.44
PO100138,SKF INDIA,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Central Maintenance,254,3332543.5
PO100139,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Central Maintenance,130,10168827.5
PO100140,S.K.F. India Limited,SKF India Limited,Bearings & Spares,plummer block SNH 517,Central Maintenance,97,1708128.29
PO100141,L&T,Larsen and Toubro Limited,Electrical & Automation,PLC S7 input card,Central Maintenance,105,6226722.6
PO100142,atlas copco,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Hot Strip Mill,249,21294731.49
PO100143,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,helical geared motor 11KW,Steel Melt Shop,8,2143551.2
PO100144,SKF India Ltd,SKF India Limited,Bearings & Spares,plummer block SNH 517,Sinter Plant,61,1227950.74
PO100145,Fenner Conveyor Belting,Fenner Conveyor Belting India,Conveyor & Handling,conv pulley lagged 630dia,Coke Oven,140,8737155.0
PO100146,S.K.F. India Limited,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Steel Melt Shop,75,1123494.75
PO100147,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Blast Furnace,405,143516585.7
PO100148,shanthi gears,Shanthi Gears Limited,Gears & Drives,gear coupling GC 250,Hot Strip Mill,153,53476270.83
PO100149,S.K.F. India Limited,SKF India Limited,Bearings & Spares,plummer block SNH 517,Central Maintenance,248,3529020.16
PO100150,atlas copco,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Power Plant,446,43209483.5
PO100151,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,gear coupling GC 250,Power Plant,398,90537708.64
PO100152,S.K.F. India Limited,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Central Maintenance,340,7803571.2
PO100153,atlas copco,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Steel Melt Shop,65,9742668.0
PO100154,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Hot Strip Mill,226,18498389.28
PO100155,SKF India Ltd,SKF India Limited,Bearings & Spares,plummer block SNH 517,Sinter Plant,336,8875157.76
PO100156,SKF India Ltd,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Power Plant,355,5414076.6
PO100157,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Steel Melt Shop,321,59854700.04
PO100158,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,WORM GEARBOX 1:40 ratio,Power Plant,351,131058387.72
PO100159,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Hot Strip Mill,390,67120318.2
PO100160,CASTROL INDIA,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Sinter Plant,463,2987081.54
PO100161,S.K.F. India Limited,SKF India Limited,Bearings & Spares,plummer block SNH 517,Hot Strip Mill,221,2284832.81
PO100162,ELECON,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Central Maintenance,41,11656900.65
PO100163,atlas copco,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Central Maintenance,74,7713748.9
PO100164,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Hot Strip Mill,5,1835439.2
PO100165,Rexroth India,Bosch Rexroth India Limited,Hydraulics,proportional valve 4WRE 25,Power Plant,484,39051540.0
PO100166,Castrol India Ltd,Castrol India Limited,Lubricants,turbine oil 46,Central Maintenance,234,4489697.16
PO100167,SMC PNEUMATICS,SMC Pneumatics India Limited,Pneumatics,FRL unit 1/2in air prep,Sinter Plant,196,4387066.04
PO100168,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Blast Furnace,425,48974615.75
PO100169,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Plate Mill,382,56897719.62
PO100170,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Steel Melt Shop,98,28182337.26
PO100171,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Plate Mill,331,23720257.71
PO100172,L and T Ltd,Larsen and Toubro Limited,Electrical & Automation,MCCB 400A 4P,Hot Strip Mill,47,5535478.11
PO100173,ELECON,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Hot Strip Mill,403,106501059.86
PO100174,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Steel Melt Shop,423,160755955.56
PO100175,SKF India Ltd,SKF India Limited,Bearings & Spares,plummer block SNH 517,Plate Mill,39,399545.64
PO100176,FESTO INDIA,Festo India Private Limited,Pneumatics,PNEU CYLINDER DSBC 63x200,Central Maintenance,203,1893117.1
PO100177,S.K.F. India Limited,SKF India Limited,Bearings & Spares,plummer block SNH 517,Plate Mill,384,7914489.6
PO100178,SMC PNEUMATICS,SMC Pneumatics India Limited,Pneumatics,FRL unit 1/2in air prep,Coke Oven,120,2403907.2
PO100179,castrol india,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Power Plant,326,6145797.64
PO100180,ELECON,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Steel Melt Shop,24,9135139.2
PO100181,Festo India Pvt Ltd,Festo India Private Limited,Pneumatics,air filter regulator G3/8,Plate Mill,455,9818258.45
PO100182,castrol india,Castrol India Limited,Lubricants,turbine oil 46,Hot Strip Mill,381,6425622.15
PO100183,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Sinter Plant,336,27462845.76
PO100184,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,hyd power pack 90L 210bar,Plate Mill,190,12636577.0
PO100185,FESTO INDIA,Festo India Private Limited,Pneumatics,FRL unit 1/2in air prep,Blast Furnace,352,6193665.28
PO100186,SKF INDIA,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Coke Oven,98,2585242.94
PO100187,Castrol India Ltd,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Coke Oven,306,6471612.36
PO100188,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Coke Oven,403,64646713.04
PO100189,KBL,Kirloskar Brothers Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Sinter Plant,120,14463187.2
PO100190,KIRLOSKAR BROTHERS,Kirloskar Brothers Limited,Pumps & Compressors,submersible pump 30HP,Hot Strip Mill,75,17391908.25
PO100191,SMC Pneumatics,SMC Pneumatics India Limited,Pneumatics,FRL unit 1/2in air prep,Coke Oven,444,4263847.44
PO100192,TRL Krosaki,TRL Krosaki Refractories Limited,Refractories,castable LC 60% alumina 25kg,Power Plant,9,228853.8
PO100193,Fenner Conveyor Belting,Fenner Conveyor Belting India,Conveyor & Handling,belt fastener MS clip 1200,Steel Melt Shop,382,13353776.46
PO100194,SKF India Ltd,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Central Maintenance,114,2956659.54
PO100195,CASTROL INDIA,Castrol India Limited,Lubricants,turbine oil 46,Power Plant,16,111182.08
PO100196,CASTROL INDIA,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Steel Melt Shop,252,4312591.92
PO100197,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Power Plant,76,9787669.12
PO100198,atlas copco,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Steel Melt Shop,272,31235859.84
PO100199,KIRLOSKAR BROTHERS,Kirloskar Brothers Limited,Pumps & Compressors,screw compressor 250cfm,Power Plant,59,12338196.23
PO100200,SKF INDIA,SKF India Limited,Bearings & Spares,plummer block SNH 517,Power Plant,117,1821615.12
PO100201,Larsen & Toubro,Larsen and Toubro Limited,Electrical & Automation,PLC S7 input card,Plate Mill,161,11887518.72
PO100202,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Steel Melt Shop,352,77786533.44
PO100203,Festo India Pvt Ltd,Festo India Private Limited,Pneumatics,solenoid valve 5/2 1/4in,Blast Furnace,50,1321169.0
PO100204,T R L KROSAKI,TRL Krosaki Refractories Limited,Refractories,MAG CARBON BRICK MgO-C 14%,Power Plant,288,12400297.92
PO100205,SKF INDIA,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Sinter Plant,341,8815542.23
PO100206,T R L KROSAKI,TRL Krosaki Refractories Limited,Refractories,castable LC 60% alumina 25kg,Hot Strip Mill,181,4020703.23
PO100207,CASTROL INDIA,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Steel Melt Shop,115,2210011.35
PO100208,L and T Ltd,Larsen and Toubro Limited,Electrical & Automation,HT MOTOR 1000KW 6.6KV,Sinter Plant,294,16340661.12
PO100209,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,proportional valve 4WRE 25,Plate Mill,140,16820749.4
PO100210,Rexroth India,Bosch Rexroth India Limited,Hydraulics,hydraulic hose R2 1in,Steel Melt Shop,446,26014863.34
PO100211,Elecon Engineering,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Power Plant,325,126079768.75
PO100212,SKF INDIA,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Steel Melt Shop,175,1849659.0
PO100213,atlas copco,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Steel Melt Shop,80,7328181.6
PO100214,shanthi gears,Shanthi Gears Limited,Gears & Drives,gear coupling GC 250,Power Plant,339,78399929.97
PO100215,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,gear coupling GC 250,Steel Melt Shop,387,99277512.48
PO100216,shanthi gears,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Blast Furnace,348,97313467.2
PO100217,Elecon Engineering,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Coke Oven,307,38579965.48
PO100218,L and T Ltd,Larsen and Toubro Limited,Electrical & Automation,HT MOTOR 1000KW 6.6KV,Blast Furnace,392,22834889.84
PO100219,SKF INDIA,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Plate Mill,221,2414657.05
PO100220,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Central Maintenance,442,55027041.94
